term	total_occurrences	n_documents
Primary	3	2
Product	3	2
Pull	3	3
Race	3	2
Refactoring	3	2
Relational	3	2
Request	3	3
Requests	3	3
Response	3	2
Review	3	2
Rollback	3	3
Runtime	3	2
SYN	3	2
Sandbox	3	1
Series	3	2
Singleton	3	2
Source	3	2
Standard	3	2
Supervised	3	2
Syntax	3	2
TDD	3	1
TP	3	2
Tables	3	3
Training	3	1
Tree	3	2
True	3	2
Unicode	3	1
VLOOKUP	3	1
Validation	3	1
Values	3	3
Vanishing	3	2
Variable	3	3
Weights	3	3
XGBoost	3	2
Z-Score	3	3
as	3	1
in	3	2
not	3	3
over	3	2
xIQR	3	2
AI	2	1
AVG	2	2
AWS	2	2
Adam	2	2
Aggregation	2	2
Algorithm	2	1
Alpha	2	2
Amazon	2	2
Angular	2	2
Animal	2	2
Asymmetric	2	1
Atomic	2	2
Attention	2	1
Attributes	2	2
Authentication	2	1
Authority	2	2
Authorization	2	1
Availability	2	1
Azure	2	2
BASE	2	2
BST	2	2
Backlog	2	1
Balancer	2	1
Behavioral	2	2
Berkeley	2	1
Bins	2	1
Black	2	1
Blockchain	2	1
Bootstrap	2	2
Branching	2	1
Bytecode	2	2
CA	2	2
CIA	2	1
CVSS	2	2
Cat	2	2
Cipher	2	2
Clean	2	1
Client	2	1
Clusters	2	2
Collision	2	1
Columns	2	2
Command	2	2
Complexity	2	1
Computing	2	1
Condition	2	1
Confidence	2	1
Confidentiality	2	1
Confounding	2	2
Confusion	2	1
Consistency	2	2
Content	2	2
Controller	2	1
Copyleft	2	2
Cross-Site	2	2
Curse	2	1
DOM	2	2
Dashboard	2	1
Dashboards	2	2
Database	2	2
Databases	2	2
Dataset	2	1
Deadlock	2	1
Debt	2	1
Defense	2	1
Design	2	1
Detection	2	2
Developer	2	1
Development	2	2
Deviation	2	1
Diamond	2	2
Distributed	2	2
Distribution	2	2
Document	2	2
Dog	2	2
Domain	2	2
EDR	2	2
ELT	2	2
Effect	2	2
Embedding	2	1
Engine	2	1
Escalation	2	1
Event	2	2
Exception	2	1
Exploitation	2	2
FA	2	1
FIFO	2	2
Filtering	2	2
Filters	2	2
Flowchart	2	1
Foreign	2	1
Forensics	2	1
Forward	2	2
Framework	2	1
Funnel	2	1
GB	2	1
GPT	2	2
GRU	2	2
Go	2	2
Gray	2	1
Hardware	2	2
Hidden	2	2
Honeypot	2	1
HttpOnly	2	2
Hybrid	2	2
IDE	2	1
Imbalanced	2	1
Imputation	2	1
Incident	2	1
Indexing	2	2
Inertia	2	2
Information	2	2
Inspection	2	2
Intelligence	2	2
Interval	2	1
Inversion	2	2
IoT	2	1
Isolation	2	1
K-Fold	2	1
Knowledge	2	2
LEFT	2	1
LIFO	2	2
Lasso	2	2
Layers	2	2
Lazy	2	2
Leak	2	1
Library	2	1
Logic	2	2
MAC	2	2
MIT	2	2
MLOps	2	1
Margin	2	1
Marts	2	1
Matplotlib	2	2
Matrix	2	1
Max	2	2
Message	2	1
Methods	2	2
Metrics	2	1
Microservices	2	1
Missing	2	2
Moving	2	1
Multinomial	2	2
Multithreading	2	1
MySQL	2	2
Negative	2	1
No	2	2
Non-parametric	2	1
Normal	2	2
Notation	2	2
OOP	2	1
OR	2	2
Object	2	2
Objects	2	2
Offline	2	2
One-Hot	2	2
Out	2	2
Overriding	2	2
Owner	2	2
Parametric	2	1
Passive	2	2
Patterns	2	1
Pipes	2	2
Plaintext	2	2
Platform	2	2
Points	2	2
Poisoning	2	1
Policies	2	1
Policy	2	2
Pooling	2	1
Positives	2	2
PostgreSQL	2	2
Q1	2	2
Q3	2	2
Query	2	2
RBAC	2	2
RFM	2	1
RMSE	2	1
RNN	2	1
Ransomware	2	1
Recursion	2	1
Regular	2	1
Reinforcement	2	1
Ridge	2	2
Round	2	2
Ruby	2	2
Rule	2	2
Rust	2	2
SGD	2	1
SHA-256	2	2
SMART	2	2
SOC	2	1
SOLID	2	1
SSH	2	2
SameSite	2	2
Scalability	2	1
Scan	2	2
Score	2	1
Seaborn	2	2
Segmentation	2	2
Separation	2	2
Signature-based	2	2
Signatures	2	2
Silhouette	2	1
Simpson	2	1
Single	2	2
Smoothing	2	2
Snowflake	2	1
Social	2	1
Softmax	2	2
Spam	2	2
Sparse	2	2
Status	2	2
Stochastic	2	1
Storytelling	2	1
Stratified	2	2
Structured	2	1
Structures	2	1
Subword	2	1
Support	2	1
Symmetric	2	1
System	2	1
TF-IDF	2	1
TTL	2	2
Technical	2	1
Term	2	2
Terminal	2	1
Test	2	2
Thread	2	1
Three-way	2	2
Tokenization	2	1
Tokens	2	2
Top	2	1
Tradeoff	2	1
Transform	2	1
Transformation	2	2
Trees	2	2
Triad	2	1
Trick	2	1
Tuning	2	1
UTF-8	2	1
Underfitting	2	2
Unique	2	2
Unstructured	2	1
Unsupervised	2	1
Version	2	1
View	2	1
Virtual	2	2
Virus	2	1
WCSS	2	2
Wait	2	1
White	2	1
Wi-Fi	2	2
Windows	2	2
Word	2	1
Worm	2	1
Zero	2	1
bcrypt	2	2
col_index_num	2	1
drop_duplicates	2	2
groupby	2	2
is-a	2	2
main	2	1
push	2	2
switch	2	2
AAAA	1	1
ABAC	1	1
ACL	1	1
ADASYN	1	1
ALU	1	1
APT	1	1
ARIMA	1	1
ASC	1	1
ASP.NET	1	1
ASVS	1	1
AUP	1	1
AVL	1	1
Abstraction	1	1
Abstractions	1	1
Accept	1	1
Acknowledgment	1	1
Action	1	1
Actionable	1	1
Actions	1	1
Active	1	1
AdaBoost	1	1
Adapter	1	1
Address	1	1
Addressing	1	1
Adjusted	1	1
Adleman	1	1
Admin	1	1
Administrator	1	1
Advanced	1	1
Agent	1	1
Airflow	1	1
AlphaGo	1	1
Always	1	1
Anomalies	1	1
Anomaly-based	1	1
App	1	1
Arch	1	1
Argon2	1	1
Arrange-Act-Assert	1	1
Arrays	1	1
Asset	1	1
Assets	1	1
Asymptotic	1	1
At	1	1
Atomicity	1	1
Attack	1	1
Augmentation	1	1
Authoritative	1	1
Avalanche	1	1
Avoid	1	1
B-Tree	1	1
BFS	1	1
BIOS	1	1
BPE	1	1
Backups	1	1
Bad	1	1
Baiting	1	1
Balance	1	1
Bandwidth	1	1
BankAccount	1	1
Baseline	1	1
Bash	1	1
Bayesian	1	1
Bernoulli	1	1
Bias-Variance	1	1
Biases	1	1
Biometrics	1	1
Bitcoin	1	1
Block	1	1
Body	1	1
Boolean	1	1
Booting	1	1
Borderline-SMOTE	1	1
Botnets	1	1
Bottom-Up	1	1
Box-and-Whisker	1	1
Branches	1	1
Breakpoints	1	1
Broken	1	1
Build	1	1
Builder	1	1
CALCULATE	1	1
CAPTCHA	1	1
CDN	1	1
CLI	1	1
CNAME	1	1
CRL	1	1
CROSS	1	1
CSV	1	1
Cache-Aside	1	1
Cacheability	1	1
Calculated	1	1
Call	1	1
Capping	1	1
Cartesian	1	1
Case	1	1
Cassandra	1	1
CatBoost	1	1
Causal	1	1
Cell	1	1
CentOS	1	1
Centroids	1	1
Certificates	1	1
Chaining	1	1
Champions	1	1
Character-level	1	1
Checks	1	1
Child	1	1
Ciphertext	1	1
Circular	1	1
Classes	1	1
Client-Server	1	1
ClientHello	1	1
Clipping	1	1
Clock	1	1
Closed	1	1
Cloud-based	1	1
Cluster	1	1
Clustering	1	1
Codes	1	1
Column-family	1	1
Commits	1	1
Committed	1	1
Compile-time	1	1
Completeness	1	1
Component	1	1
Compose	1	1
Composite	1	1
Compute	1	1
Computer	1	1
Concerns	1	1
Conditions	1	1
Configuration	1	1
Connected	1	1
Connection	1	1
Connection-oriented	1	1
Connectionless	1	1
Connections	1	1
Conquer	1	1
Consensus	1	1
Constraints	1	1
Constructor	1	1
Constructors	1	1
Consumer	1	1
Containers	1	1
Containment	1	1
Contract	1	1
Contracts	1	1
Controlled	1	1
Controls	1	1
Convenience	1	1
Conversion	1	1
Convolution	1	1
Cores	1	1
Corpus	1	1
Correctness	1	1
Cosine	1	1
Counter	1	1
Created	1	1
Creational	1	1
Credential	1	1
Critical	1	1
Cross-Entropy	1	1
Cryptographic	1	1
Curve	1	1
Custody	1	1
Customers	1	1
Cyclical	1	1
DDL	1	1
DENSE_RANK	1	1
DESC	1	1
DML	1	1
DNSSEC	1	1
DPI	1	1
DRY	1	1
Daily	1	1
DataFrame	1	1
Debian	1	1
Decorator	1	1
Decoupling	1	1
Deep	1	1
Deletion	1	1
Delivery	1	1
Denial	1	1
Denormalization	1	1
Dependencies	1	1
Dependency	1	1
Deploy	1	1
Deployment	1	1
Descriptive	1	1
Desired	1	1
Deterministic	1	1
DevOps	1	1
Device	1	1
Diagnostic	1	1
Diffie-Hellman	1	1
Digest	1	1
Dimension	1	1
Dimensional	1	1
Discrete	1	1
Distance	1	1
Divergence	1	1
Divide	1	1
Dockerfile	1	1
Double	1	1
Double-Checked	1	1
Drift	1	1
Drill-down	1	1
Drivers	1	1
Drop-off	1	1
Dropout	1	1
Dumps	1	1
Durability	1	1
Duties	1	1
Dying	1	1
Dynamic	1	1
Dynamically	1	1
EC2	1	1
ECC	1	1
EDA	1	1
ELSE	1	1
EMA	1	1
Early	1	1
Eclipse	1	1
Elastic	1	1
Elasticity	1	1
Elbow	1	1
Embeddings	1	1
Empirical	1	1
Emulators	1	1
Encrypted	1	1
End	1	1
Endpoint	1	1
Enter	1	1
Entropy	1	1
Environment	1	1
Epochs	1	1
Equation	1	1
Eradication	1	1
Euclidean	1	1
Exact	1	1
Exclusion	1	1
Exploding	1	1
Exploit	1	1
Exploration	1	1
Exploratory	1	1
Exponential	1	1
Extortion	1	1
Extraction	1	1
Extreme	1	1
F-beta	1	1
F2	1	1
FN	1	1
FOR	1	1
FP	1	1
Facade	1	1
Fact	1	1
Factor	1	1
Factorial	1	1
Factorization	1	1
Factory	1	1
Failures	1	1
Fedora	1	1
Fetch-Decode-Execute	1	1
Fields	1	1
File	1	1
Filter	1	1
Fine-tuning	1	1
Finiteness	1	1
Firmware	1	1
Five-Number	1	1
Flags	1	1
Flaky	1	1
Flask	1	1
Folds	1	1
Forbidden	1	1
Forensic	1	1
Forgery	1	1
Forget	1	1
Four	1	1
Fraud	1	1
Fully	1	1
GHz	1	1
GPUs	1	1
GUI	1	1
Gain	1	1
Gang	1	1
Gap	1	1
Gates	1	1
Gateway	1	1
Gaussian	1	1
Generational	1	1
Getters	1	1
Gini	1	1
GitLab	1	1
GloVe	1	1
Global	1	1
Gmail	1	1
Graph	1	1
GraphQL	1	1
Graphs	1	1
Green	1	1
Grid	1	1
Guide	1	1
Guidelines	1	1
HSTS	1	1
Hadoop	1	1
Harmonic	1	1
Headers	1	1
Health	1	1
Heroku	1	1
Hexadecimal	1	1
Hierarchical	1	1
Hold	1	1
Homoscedasticity	1	1
Hotfixes	1	1
Hub	1	1
Hunting	1	1
Hyperplane	1	1
Hypervisor	1	1
Hypothesis	1	1
IBM	1	1
ID	1	1
IDEA	1	1
IDF	1	1
IF	1	1
IIoT	1	1
IKEv2	1	1
INNER	1	1
INSERT	1	1
IOCs	1	1
IPC	1	1
IPsec	1	1
Idempotent	1	1
Identification	1	1
Identity	1	1
Impurity	1	1
In-order	1	1
Indicator	1	1
Inference	1	1
Infrastructure	1	1
Initialization	1	1
Inline	1	1
Instance	1	1
Integer	1	1
IntelliJ	1	1
Interfaces	1	1
Interpretability	1	1
Interquartile	1	1
Invalidation	1	1
Inverse	1	1
Irreducible	1	1
Iterations	1	1
JIT	1	1
JVM	1	1
Jenkins	1	1
Just-in-Time	1	1
K-Means++	1	1
K-Nearest	1	1
KISS	1	1
KPIs	1	1
Kafka	1	1
Kaggle	1	1
Kanban	1	1
Key-Value	1	1
Kubeflow	1	1
LAG	1	1
LEAD	1	1
LRU	1	1
LTV	1	1
Label	1	1
Labeled	1	1
Labels	1	1
Lagging	1	1
Lakes	1	1
Lambda	1	1
Laplace	1	1
Latency	1	1
Lateral	1	1
Leading	1	1
Leaky	1	1
Learned	1	1
Leaves	1	1
Lessons	1	1
Levels	1	1
License	1	1
Licenses	1	1
LightGBM	1	1
Line	1	1
Link	1	1
Linus	1	1
Liskov	1	1
Listeners	1	1
Local	1	1
Lock-in	1	1
Locking	1	1
Lodash	1	1
Logger	1	1
Logging	1	1
Long	1	1
MD5	1	1
ML	1	1
MLflow	1	1
MSSP	1	1
MTV	1	1
MX	1	1
Macro	1	1
Majority	1	1
Malware	1	1
Manhattan	1	1
Manifesto	1	1
Many	1	1
Maps	1	1
Master	1	1
Match	1	1
Measures	1	1
Messages	1	1
Meta-Model	1	1
Metacharacters	1	1
Metric	1	1
Micro	1	1
Micro-segmentation	1	1
Min-Max	1	1
Minima	1	1
Minority	1	1
Miss	1	1
Mitigate	1	1
Mocks	1	1
Modified	1	1
Modifiers	1	1
Monetary	1	1
MongoDB	1	1
Movement	1	1
Multi-class	1	1
Multilevel	1	1
Multiple	1	1
Multithreaded	1	1
Mutex	1	1
Mutual	1	1
NAT	1	1
NER	1	1
NGFW	1	1
NIST	1	1
NSE	1	1
Namespaces	1	1
Neighbors	1	1
Net	1	1
Networks	1	1
Neuron	1	1
Neurons	1	1
Never	1	1
Next-Generation	1	1
Node	1	1
Node.js	1	1
Nodes	1	1
Noise	1	1
Non-convex	1	1
Non-response	1	1
Non-volatile	1	1
OCSP	1	1
OK	1	1
OLAP	1	1
OLTP	1	1
OUTER	1	1
Observer	1	1
Off-by-one	1	1
One-vs-Rest	1	1
One-way	1	1
OpenVPN	1	1
Operating	1	1
Optimization	1	1
Oracle	1	1
Orchestration	1	1
Orders	1	1
Out-of-Bag	1	1
Out-of-Vocabulary	1	1
Overloading	1	1
Ownership	1	1
PARTITION	1	1
PHP	1	1
PUT	1	1
Packet	1	1
Paradox	1	1
Parameterized	1	1
Parent	1	1
Pass	1	1
Pauses	1	1
Pay-as-you-go	1	1
Peer-to-Peer	1	1
Penalty	1	1
Pepper	1	1
Permissive	1	1
Physical	1	1
Pipeline	1	1
Pipelines	1	1
Planning	1	1
Pod	1	1
Pointers	1	1
Polynomial	1	1
Pools	1	1
Ports	1	1
Positional	1	1
Positions	1	1
Precision-Recall	1	1
Predictive	1	1
Preemption	1	1
Preparation	1	1
Prepared	1	1
Prescriptive	1	1
Presentation	1	1
Pretexting	1	1
Prime	1	1
Principal	1	1
Print	1	1
Problem	1	1
Procedures	1	1
Producer	1	1
Profilers	1	1
Programming	1	1
Propagation	1	1
Proprietary	1	1
Prototyping	1	1
Proxy	1	1
Pruning	1	1
PyCharm	1	1
PyTorch	1	1
Pyramid	1	1
QRadar	1	1
Quality	1	1
Queries	1	1
Question	1	1
RANK	1	1
RBF	1	1
RDBMS	1	1
RDP	1	1
RIGHT	1	1
ROW_NUMBER	1	1
RabbitMQ	1	1
Rails	1	1
Rainbow	1	1
Randomization	1	1
Randomized	1	1
Range	1	1
Ranks	1	1
React	1	1
Recency	1	1
Reconnaissance	1	1
Recovery	1	1
Recursive	1	1
Red	1	1
Red-Black	1	1
Red-Green-Refactor	1	1
Redis	1	1
Reduction	1	1
Redundancy	1	1
Refactor	1	1
Reference	1	1
Referential	1	1
Reflected	1	1
Registers	1	1
Registry	1	1
Rehashing	1	1
Releases	1	1
Remediation	1	1
Remote	1	1
Rendering	1	1
Repository	1	1
Representational	1	1
Reproducibility	1	1
Request-Response	1	1
Residuals	1	1
Resolver	1	1
Resources	1	1
Responsibility	1	1
Retention	1	1
Retrospective	1	1
Reward	1	1
Rivest	1	1
Robin	1	1
Rolling	1	1
Roots	1	1
Rounds	1	1
Routers	1	1
Routing	1	1
Row	1	1
Rows	1	1
Running	1	1
SELECT	1	1
SELF	1	1
SHA-1	1	1
SHA-2	1	1
SIM	1	1
SMA	1	1
SMS	1	1
SOAP	1	1
SQS	1	1
SSIS	1	1
SVN	1	1
Saddle	1	1
Safe	1	1
Scanners	1	1
Scatter	1	1
Schedules	1	1
Scope	1	1
Scripting	1	1
Scripts	1	1
Seasonality	1	1
Sections	1	1
Secure	1	1
Segregation	1	1
Self-Attention	1	1
Self-Healing	1	1
Self-selection	1	1
Semaphore	1	1
Semi-structured	1	1
Sentiment	1	1
Sentinel	1	1
ServerHello	1	1
Servers	1	1
Services	1	1
Set	1	1
Setter	1	1
Setters	1	1
Shamir	1	1
Sheets	1	1
Shell	1	1
Short-Term	1	1
Significance	1	1
Silos	1	1
Similarity	1	1
Simple	1	1
Size	1	1
Skewed	1	1
Skewness	1	1
Slice	1	1
Smells	1	1
Smishing	1	1
Soft	1	1
Space	1	1
Spark	1	1
Spear	1	1
Spearman	1	1
Speed	1	1
Splunk	1	1
Spring	1	1
Sprints	1	1
Squared	1	1
Stacking	1	1
Staging	1	1
Standards	1	1
Standup	1	1
Start	1	1
Stateful	1	1
Stateless	1	1
Statelessness	1	1
Statements	1	1
Static	1	1
Statistic	1	1
Statistical	1	1
Steward	1	1
Stopping	1	1
Stored	1	1
Strategy	1	1
String	1	1
Stripping	1	1
Structural	1	1
Stubs	1	1
Studio	1	1
Stuffing	1	1
Substitution	1	1
Suites	1	1
Summarization	1	1
Summary	1	1
Survivorship	1	1
Swapping	1	1
Synthetic	1	1
Systematic	1	1
TF	1	1
TLD	1	1
TN	1	1
TOTALYTD	1	1
TOTP	1	1
TP+FN	1	1
TP+FP	1	1
Tags	1	1
Tailgating	1	1
Talend	1	1
Tanh	1	1
Target	1	1
Team	1	1
Technique	1	1
TensorFlow	1	1
Text	1	1
Threshold	1	1
Through	1	1
Timeliness	1	1
Too	1	1
Top-Down	1	1
Torvalds	1	1
Totals	1	1
Trace	1	1
Transaction	1	1
Transactions	1	1
Transitive	1	1
Translation	1	1
Transport	1	1
Trend	1	1
Triage	1	1
Trials	1	1
Trip	1	1
Trunk-Based	1	1
Tunnel	1	1
Typed	1	1
UPDATE	1	1
URLs	1	1
USB	1	1
Ubuntu	1	1
Unauthorized	1	1
Undersampling	1	1
Undo	1	1
Uniform	1	1
Uniqueness	1	1
Updates	1	1
VM	1	1
Validity	1	1
Value	1	1
Vanity	1	1
Variety	1	1
Vector	1	1
Vectors	1	1
Velocity	1	1
Vendor	1	1
Veracity	1	1
Verify	1	1
Vishing	1	1
Vision	1	1
Visual	1	1
Volatile	1	1
Volume	1	1
Volumetric	1	1
Voting	1	1
Vs	1	1
Vue	1	1
WHILE	1	1
WPA2	1	1
WannaCry	1	1
Wazuh	1	1
Web	1	1
Weight	1	1
Weighted	1	1
Weighting	1	1
Whaling	1	1
Whiskers	1	1
WireGuard	1	1
Word-level	1	1
Word2Vec	1	1
WordPiece	1	1
Write-Back	1	1
Write-Through	1	1
X.509	1	1
XLOOKUP	1	1
XSD	1	1
YAML	1	1
Zsh	1	1
add	1	1
beta	1	1
bps	1	1
branch	1	1
can-do	1	1
catch	1	1
checkout	1	1
chmod	1	1
chown	1	1
clone	1	1
com	1	1
concat	1	1
cp	1	1
customer_id	1	1
default	1	1
deposit	1	1
dequeue	1	1
develop	1	1
does	1	1
dropna	1	1
duplicated	1	1
enqueue	1	1
example.com	1	1
except	1	1
fillna	1	1
free	1	1
gRPC	1	1
grep	1	1
imply	1	1
keep	1	1
kill	1	1
lookup_value	1	1
ls	1	1
macOS	1	1
makeSound	1	1
malloc	1	1
man	1	1
mkdir	1	1
mv	1	1
n-1	1	1
on	1	1
peek	1	1
pivot_table	1	1
pop	1	1
protected	1	1
ps	1	1
pwd	1	1
range_lookup	1	1
read_csv	1	1
rm	1	1
scikit-learn	1	1
scrypt	1	1
subset	1	1
table_array	1	1
try	1	1
withdraw	1	1
wx	1	1
