idx	stratum	term	form	bare_len	verdict
102	A	Tokens	التوكنز	5	KEEP
103	A	Tokens	توكنز	5	KEEP
104	A	Trees	التريز	4	KEEP
105	A	Triage	الترياج	5	KEEP
106	A	Triage	ترياج	5	KEEP
107	A	UPDATE	الأبديت	5	KEEP
108	A	Value	الفاليو	5	KEEP
109	A	Wazuh	الوازوه	5	KEEP
110	A	Wazuh	وازوه	5	KEEP
111	A	Weights	الويتس	4	KEEP
112	A	YAML	اليامل	4	KEEP
113	A	Zsh	الزد شل	5	KEEP
114	A	Zsh	زد شل	5	KEEP
115	B	Asymmetric Encryption	الأسيمتريك إنكريبشن	17	KEEP
116	B	Bar Chart	بار شارت	8	KEEP
117	B	Binary Classification	البايناري كلاسيفيكيشن	19	KEEP
118	B	Bitcoin	بت كوين	7	KEEP
119	B	Boosting	البوستنج	6	KEEP
120	B	Bootstrap	البوتستراب	8	KEEP
121	B	Botnets	البوت نتس	7	KEEP
122	B	Brute Force	البروت فورس	9	KEEP
123	B	Bytecode	البايت كود	8	KEEP
124	B	CAPTCHA	الكابتشا	6	KEEP
125	B	Certificate	سيرتيفيكيت	10	KEEP
126	B	Clock Speed	الكلوك سبيد	9	KEEP
127	B	Commit Messages	الكوميت ميساجيز	13	KEEP
128	B	Commits	الكوميتس	6	KEEP
129	B	CROSS JOIN	كروس جوين	9	KEEP
130	B	Data Augmentation	الداتا أوجمنتيشن	14	KEEP
131	B	Deadlock	الديد لوك	7	KEEP
132	B	Dependency Inversion	الديبندنسي إنفرجن	15	KEEP
133	B	Deployment	ديبلويمنت	9	KEEP
134	B	Device Drivers	ديفايس درايفرز	14	KEEP
135	B	Diagnostic Analytics	الدايجنوستيك أناليتكس	19	KEEP
136	B	Docker Hub	الدوكر هب	7	KEEP
137	B	Dockerfile	دوكرفايل	8	KEEP
138	B	Environment	إنفايرونمنت	11	KEEP
139	B	Feature Flags	فيتشر فلاجز	11	KEEP
140	B	Firewall	الفاير وول	8	KEEP
141	B	git log	الجيت لوج	7	KEEP
142	B	Hidden Layers	هيدن ليرز	9	KEEP
143	B	Hybrid Encryption	هايبرد إنكريبشن	15	KEEP
144	B	Hyperplane	هايبر بلين	10	KEEP
145	B	Incident Response	الإنسيدنت ريسبونس	15	KEEP
146	B	Information Gain	إنفورميشن جين	13	KEEP
147	B	Lazy Learning	الليزي ليرنينج	12	KEEP
148	B	Machine Translation	ماشين ترانسليشن	15	KEEP
149	B	Messages	الميساجيز	7	KEEP
150	B	Microservices	الميكروسيرفيسز	12	KEEP
151	B	Neural Network	النيورال نتورك	12	KEEP
152	B	OUTER JOIN	الأوتر جوين	9	KEEP
153	B	Output Encoding	الآوتبوت إنكودنج	14	KEEP
154	B	PostgreSQL	البوستجرس	7	KEEP
155	B	Prepared Statements	بريبيرد ستيتمنتس	16	KEEP
156	B	Repository	ريبوزيتوري	10	KEEP
157	B	Scripts	سكريبتس	7	KEEP
158	B	Social Engineering	السوشيال إنجينيرينج	17	KEEP
159	B	SQL Server	إسكيوإل سيرفر	13	KEEP
160	B	Table Scan	تيبل سكان	9	KEEP
161	B	Test Data	تست داتا	8	KEEP
162	B	Validation Set	الفاليديشن سيت	12	KEEP
163	B	Version Control	فيرجن كونترول	13	KEEP
164	B	Zero-Day	الزيرو داي	8	KEEP
